id,name,trait,variants,license_class,license,first_author,journal,year
PGS000001,PRS77_BC,Breast cancer,77,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Mavaddat N,J Natl Cancer Inst,2015
PGS000002,PRS77_ERpos,ER-positive breast cancer,77,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Mavaddat N,J Natl Cancer Inst,2015
PGS000003,PRS77_ERneg,ER-negative breast cancer,77,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Mavaddat N,J Natl Cancer Inst,2015
PGS000004,PRS313_BC,Breast cancer,313,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Mavaddat N,Am J Hum Genet,2018
PGS000005,PRS313_ERpos,ER-positive breast cancer,313,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Mavaddat N,Am J Hum Genet,2018
PGS000006,PRS313_ERneg,ER-negative breast cancer,313,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Mavaddat N,Am J Hum Genet,2018
PGS000007,PRS3820_BC,Breast cancer,3820,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Mavaddat N,Am J Hum Genet,2018
PGS000008,PRS3820_ERpos,ER-positive breast cancer,3820,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Mavaddat N,Am J Hum Genet,2018
PGS000009,PRS3820_ERneg,ER-negative breast cancer,3820,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Mavaddat N,Am J Hum Genet,2018
PGS000010,GRS27,Coronary heart disease,27,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Mega JL,Lancet,2015
PGS000011,GRS50,Coronary artery disease,50,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Tada H,Eur Heart J,2015
PGS000012,GRS49K,Coronary artery disease,49310,standard,"PGS obtained from the Catalog should be cited appropriately, and used in accordance with any licensing restrictions set by the authors. See EBI Terms of Use (https://www.ebi.ac.uk/about/terms-of-use/) for additional details.",Abraham G,Eur Heart J,2016
PGS000013,GPS_CAD,Coronary artery disease,6630150,other,Freely available to the academic community for research use. Parties interested in using the scores for commercial purposes should contact the Broad Office of Strategic Alliances and Partnering (partnering@broadinstitute.org).,Khera AV,Nat Genet,2018
PGS000014,GPS_T2D,Type 2 diabetes (T2D),6917436,other,Freely available to the academic community for research use. Parties interested in using the scores for commercial purposes should contact the Broad Office of Strategic Alliances and Partnering (partnering@broadinstitute.org).,Khera AV,Nat Genet,2018
PGS000015,GPS_BC,Breast cancer,5218,other,Freely available to the academic community for research use. Parties interested in using the scores for commercial purposes should contact the Broad Office of Strategic Alliances and Partnering (partnering@broadinstitute.org).,Khera AV,Nat Genet,2018
